PCXXX(35:2)_[M+OAC]1- ,PC,830.5917,0.000,1.566,3.446,0.000,0.000,37.840,0.000,0.000,,2.471,17.346,0.000,0.000,0.000,0.722,14.058,1.389,0.000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PCXXX(35:3)_[M+OAC]1- ,PC,828.576,0.000,0.000,0.000,0.421,0.000,1.726,0.990,0.000,,0.000,2.862,0.418,7.512,0.000,0.000,3.368,0.000,1.457,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PCXXX(35:4)_[M+OAC]1- ,PC,826.5604,0.000,2.485,0.000,0.000,0.000,12.075,0.000,0.000,,0.000,15.628,0.000,3.482,0.000,0.000,14.406,7.370,0.000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PCXXX(35:5)_[M+Cl]1-,PC,800.5003,0.000,1.361,0.000,0.770,0.000,0.000,0.000,0.000,,0.000,0.000,0.000,1.705,0.000,0.000,0.000,0.000,0.000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PCXXX(35:5)_[M+OAC]1- ,PC,824.5447,0.000,0.000,1.187,0.000,0.000,0.000,0.000,2.398,,0.525,0.000,0.758,0.000,0.000,0.000,0.000,0.000,1.394,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PCXXX(36:0)_[M+OAC]1-,PC,848.6386,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,,0.000,0.000,0.000,0.000,0.000,0.000,1.429,0.231,0.000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PCXXX(36:2)_[M+Cl]1-,PC,820.5629,0.000,1.517,0.000,0.850,0.000,5.404,0.000,0.000,,0.709,2.120,0.000,0.000,0.000,0.000,0.689,0.000,0.000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PCXXX(36:2)_[M+OAC]1- ,PC,844.6073,1.804,0.000,0.000,0.000,0.000,0.473,0.000,0.000,,0.000,0.000,0.529,0.000,0.000,0.000,0.153,0.236,0.000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PCXXX(36:3)_[M+Cl]1-,PC,818.5472,0.000,0.000,0.000,0.689,0.000,1.016,0.000,0.000,,0.000,1.128,0.000,0.000,0.000,0.000,1.227,0.470,0.000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PCXXX(36:3)_[M+OAC]1- ,PC,842.5917,0.000,3.158,1.620,0.979,0.000,1.318,1.774,1.797,,0.000,0.000,1.098,0.000,2.604,0.000,0.169,0.000,0.000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
