,,Data ID,307_P1_G10_vastus_18C36_PWD_lean_0.mzXML,339_P1_H02_vastus_18C37_PWD_lean_0.mzXML,293_P1_G03_vastus_18C40_PWD_lean_0.mzXML,253_P1_F07_vastus_18C41_PWD_lean_0.mzXML,255_P1_F08_vastus_18C42_PWD_lean_0.mzXML,059_P1_B06_vastus_NPC1_PWD_lean_0.mzXML,205_P1_E07_vastus_NPC2_PWD_lean_0.mzXML,289_P1_G01_vastus_NPC3_PWD_lean_0.mzXML,049_P1_B01_vastus_RC59_PWD_lean_0.mzXML,303_P1_G08_vastus_18F50_PWD_obese_0.mzXML,201_P1_E05_vastus_18F52_PWD_obese_0.mzXML,117_P1_C11_vastus_18F54_PWD_obese_0.mzXML,211_P1_E10_vastus_18F55_PWD_obese_0.mzXML,149_P1_D03_vastus_18F57_PWD_obese_0.mzXML,151_P1_D04_vastus_NPF1_PWD_obese_0.mzXML,215_P1_E12_vastus_NPF2_PWD_obese_0.mzXML
,,Sample ID,18C36,18C37,18C40,18C41,18C42,NPC1,NPC2,NPC3,RC59,18F50,18F52,18F54,18F55,18F57,NPF1,NPF2
,,Phenotype,lean,lean,lean,lean,lean,lean,lean,lean,lean,obese,obese,obese,obese,obese,obese,obese
,,Group,PWD,PWD,PWD,PWD,PWD,PWD,PWD,PWD,PWD,PWD,PWD,PWD,PWD,PWD,PWD,PWD
,,Compartment,Vas,Vas,Vas,Vas,Vas,Vas,Vas,Vas,Vas,Vas,Vas,Vas,Vas,Vas,Vas,Vas
,,Handling,Whole,Whole,Whole,Whole,Whole,Whole,Whole,Whole,Whole,Whole,Whole,Whole,Whole,Whole,Whole,Whole
,,96wPL No.,P1,P1,P1,P1,P1,P1,P1,P1,P1,P1,P1,P1,P1,P1,P1,P1
,,Address,G10,H02,G03,F07,F08,B06,E07,G01,B01,G08,E05,C11,E10,D03,D04,E12
Lipid variable,Category,m/z,18C36,18C37,18C40,18C41,18C42,NPC1,NPC2,NPC3,RC59,18F50,18F52,18F54,18F55,18F57,NPF1,NPF2
PAXXX(42:05)_[M+Na]1+,PA,801.5405,0,0,0,0.076,0,0,0,0,0,0,0,0,0,0,0,0
PAXXX(42:08)_[M+Na]1+,PA,795.4935,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.155,0
PAXXX(42:09)_[M+Na]1+,PA,793.4779,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PAXXX(43:04)_[M+Na]1+,PA,817.5718,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PAXXX(43:06)_[M+Na]1+,PA,813.5405,0,0,0,0.001,0,0,0.017,0,0.115,0,0,0,0.002,0,0,0
PAXXX(44:12)_[M+Na]1+,PA,815.4622,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PCXXX(28:00)_[M+H]1+,PC,678.5074,3.724,0,1.75,0.41,0.079,0.043,0.494,0,0.896,2.171,3.477,2.23,0,1.2,4.948,0.698
PCXXX(30:00)_[M+H]1+,PC,706.5387,9.008,0.192,5.926,2.764,0.081,8.265,7.113,0,4.484,7.2,9.699,9.587,0,4.33,13.844,2.52
PCXXX(30:05)_[M+H]1+,PC,696.4605,0,0,0,0,0,0,0,0,0.404,0,0,0,0,0,0,0
PCXXX(32:02)_[M+H]1+,PC,730.5387,0,0.095,0.269,2.997,0.102,1.79,1.377,0,0.182,0.218,0,2.269,0,0.079,0,0.037
PCXXX(34:01)_[M+H]1+,PC,760.5851,43.789,39.861,52.132,25.511,27.579,56.064,61.341,40.644,72.97,28.214,1.488,58.38,1.726,26.285,2.128,14.042
PCXXX(34:03)_[M+H]1+,PC,756.5543,0.158,0.189,1.515,1.498,0.63,2.916,0.964,0.124,2.453,0.109,0,1.834,0,0.501,0,0.141
PCXXX(36:01)_[M+H]1+,PC,788.6169,0,4.215,0.301,2.988,0.177,1.897,0.193,10.53,0.687,0,0,3.03,0.155,0.269,0,0.256
PCXXX(36:02)_[M+H]1+,PC,786.6013,11.364,6.776,8.627,11.114,9.67,8.243,6.78,6.051,19.628,10.41,0,14.539,1.056,6.019,0,2.287
PCXXX(36:03)_[M+H]1+,PC,784.5851,17.867,5.336,12.767,15.113,8.225,15.798,20.518,0.78,20.413,9.907,0.519,16.061,0.315,26.464,0.346,3.418
PCXXX(36:04)_[M+H]1+,PC,782.57,122.643,52.848,161.618,106.268,48.993,163.519,189.035,31.409,121.041,107.034,11.3,112.54,7.279,85.46,11.973,34.997
PCXXX(38:01)_[M+H]1+,PC,816.6482,0,0,0,0,0,0,0.127,0,0,0,0,0,2.701,0,0,0
PCXXX(38:03)_[M+H]1+,PC,812.6169,0.374,0,0.073,0.099,0.11,0.278,0.484,0,0,0.224,0,0.559,0,0.136,0,0.031
PCXXX(38:04)_[M+H]1+,PC,810.6013,15.538,8.123,16.134,12.34,8.125,12.88,17.401,6.598,11.568,17.264,0.404,15.024,1.514,11.499,0.974,5.625
